type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,2990,1a:00:00:00:00:00,-66,11,1,0,1,1,1,0,0,0,1,-95,0,11,2,42407361,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-3,0,-10,2,-10,3,-10,3,-11,3,-11,3,-10,4,-9,5,-9,5,-10,5,-10,5,-11,5,-10,6,-10,6,-10,5,-10,6,-10,7,-10,7,-9,7,-9,7,-9,7,-9,8,-10,8,-10,8,-9,9,-9,10,-9,10,-4,5,-9,11,-9,12,-10,12,-9,12,-9,11,-9,12,-9,13,-8,13,-9,13,-9,13,-10,13,-10,13,-10,13,-10,13,-10,14,-10,15,-11,15,-11,15,-11,14,-11,14,-11,14,-12,14,-13,14,-14,12,-14,11,-13,11,-4,2,0,0,0,0,0,0,0,0,0,0,-10,3,-39,14,-39,16,-37,18,-37,18,-36,17,-34,14,-35,14,-36,18,-36,21,-32,23,-28,25,-30,25,-34,26,-34,27,-29,28,-27,32,-31,34,-33,32,-32,30,-31,35,-30,37,-29,35,-26,34,-27,33,-29,34,-31,36,-30,39,-27,43,-28,44,-27,45,-25,44,-27,44,-28,46,-26,48,-26,48,-29,47,-28,51,-23,55,-25,55,-27,55,-28,57,-30,59,-32,58,-30,59,-28,60,-28,61,-29,62,-30,63,-31,60,-32,59,-35,61,-37,59,-39,57,-41,56,-43,52,-45,50,-47,50,-12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-10,24,-38,23,-38,25,-39,27,-38,27,-36,25,-33,24,-33,25,-33,28,-33,29,-33,28,-34,28,-36,28,-37,27,-33,25,-29,26,-30,26,-32,24,-29,21,-28,21,-28,21,-29,22,-29,22,-28,22,-29,22,-30,19,-29,18,-28,18,-28,17,-30,15,-30,14,-29,15,-28,15,-30,12,-32,10,-34,8,-33,4,-30,2,-29,1,-30,1,-32,0,-32,-2,-32,-2,-33,-2,-34,-3,-32,-5,-32,-7,-32,-9,-32,-10,-33,-8,-34,-9,-34,-10,-34,-9,-33,-10,-33,-13,-37,-16,-39,-19,-39,-5,-10]"
CSI_DATA,2991,1a:00:00:00:00:00,-66,11,1,0,1,1,1,0,0,0,1,-95,0,11,2,42426862,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,0,-3,2,-11,1,-11,1,-11,1,-12,1,-11,1,-11,0,-11,0,-11,0,-11,-1,-11,-1,-12,-1,-13,-2,-13,-2,-12,-1,-12,-2,-12,-2,-12,-2,-11,-3,-11,-3,-12,-3,-12,-3,-12,-3,-12,-5,-12,-5,-14,-5,-14,-3,-7,-7,-14,-6,-15,-7,-15,-7,-14,-7,-14,-7,-15,-8,-15,-8,-15,-8,-15,-9,-15,-8,-15,-7,-15,-8,-15,-8,-16,-8,-16,-9,-17,-9,-17,-8,-17,-8,-17,-7,-17,-7,-17,-6,-18,-6,-18,-6,-18,-5,-18,-4,-18,-1,-5,0,0,0,0,0,0,0,0,0,0,1,-5,5,-19,3,-20,2,-22,2,-20,2,-19,2,-19,2,-21,2,-22,1,-21,1,-20,-1,-20,-2,-20,-1,-20,-1,-20,-2,-21,-4,-22,-5,-24,-4,-24,-3,-22,-5,-22,-6,-24,-5,-23,-6,-23,-7,-23,-7,-22,-6,-22,-8,-23,-9,-24,-10,-25,-11,-24,-11,-23,-12,-24,-13,-25,-14,-25,-14,-25,-14,-27,-16,-26,-17,-24,-17,-25,-16,-25,-16,-27,-15,-29,-15,-30,-16,-29,-17,-30,-18,-30,-18,-31,-18,-32,-18,-33,-19,-32,-18,-31,-17,-31,-16,-31,-13,-31,-11,-32,-10,-33,-8,-34,-2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,22,5,21,5,22,4,22,3,21,3,20,4,20,5,20,4,22,2,22,2,22,3,22,2,23,1,23,1,20,2,20,3,20,2,19,2,18,2,18,3,17,2,16,3,18,3,20,3,19,4,17,4,16,3,16,4,16,4,15,5,15,6,15,7,15,8,14,8,14,8,13,9,11,10,12,10,12,11,12,11,11,12,10,12,10,13,9,13,8,13,8,13,8,14,7,15,7,14,7,15,7,16,7,16,7,16,7,18,6,19,4,19,4,4,1]"
CSI_DATA,2992,1a:00:00:00:00:00,-66,11,1,0,1,1,1,0,0,0,1,-95,0,11,2,42445976,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-2,3,-8,14,-6,14,-6,15,-7,16,-7,16,-6,15,-5,15,-4,15,-4,16,-4,16,-4,18,-4,18,-3,18,-4,17,-4,17,-2,18,-1,17,-1,17,-1,17,0,18,0,19,0,19,0,18,1,18,2,20,2,21,2,10,4,21,4,22,4,23,4,23,4,22,5,22,6,23,7,23,7,24,7,24,6,25,5,25,5,25,6,25,6,25,7,27,6,28,6,27,6,26,6,27,5,27,5,28,4,28,2,29,-1,28,-1,27,0,6,0,0,0,0,0,0,0,0,0,0,-3,7,-9,30,-8,32,-6,33,-5,31,-5,31,-4,31,-4,31,-5,32,-4,31,-3,30,0,30,3,32,2,34,0,35,1,34,4,35,5,37,3,36,3,34,8,35,10,36,6,35,8,32,11,32,9,34,9,35,12,37,15,37,15,38,15,38,15,38,16,39,18,39,20,38,20,38,18,39,21,38,24,38,25,39,25,40,27,41,25,43,24,43,24,44,26,45,27,45,27,46,27,47,26,46,25,46,24,47,25,47,23,47,19,48,18,49,17,51,13,52,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-10,-9,-36,-9,-35,-6,-36,-5,-37,-5,-35,-5,-33,-7,-32,-8,-33,-6,-34,-3,-35,-4,-35,-6,-36,-5,-37,-2,-35,-1,-32,-5,-32,-7,-34,-5,-32,-4,-29,-5,-26,-4,-27,-5,-29,-6,-30,-6,-30,-5,-30,-7,-28,-8,-26,-7,-26,-7,-26,-9,-25,-9,-24,-9,-25,-10,-24,-12,-22,-15,-24,-17,-22,-17,-20,-17,-20,-17,-21,-17,-19,-19,-18,-20,-17,-22,-17,-22,-17,-21,-14,-22,-12,-24,-12,-23,-11,-22,-12,-23,-13,-25,-13,-25,-13,-25,-14,-27,-13,-31,-12,-33,-10,-31,-9,-8,-3]"
CSI_DATA,2993,1a:00:00:00:00:00,-66,11,1,0,1,1,1,0,0,0,1,-95,0,11,2,42458149,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-2,-3,-6,-9,-6,-9,-7,-10,-7,-10,-7,-10,-6,-9,-7,-9,-8,-9,-8,-9,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-8,-10,-7,-10,-7,-9,-7,-10,-7,-10,-7,-11,-7,-11,-7,-10,-7,-11,-6,-13,-7,-13,-7,-7,-3,-14,-6,-15,-6,-15,-6,-15,-6,-14,-6,-15,-6,-16,-6,-16,-5,-16,-5,-16,-5,-17,-6,-16,-7,-16,-7,-17,-6,-17,-6,-18,-6,-18,-7,-18,-7,-17,-7,-18,-7,-18,-7,-17,-8,-18,-9,-17,-9,-16,-11,-16,-11,-4,-3,0,0,0,0,0,0,0,0,0,0,-3,-5,-12,-18,-13,-17,-14,-16,-13,-15,-11,-16,-13,-15,-15,-14,-15,-14,-14,-14,-14,-14,-16,-13,-18,-12,-19,-13,-19,-15,-18,-14,-20,-12,-22,-13,-21,-13,-19,-12,-21,-11,-24,-11,-22,-11,-20,-10,-21,-10,-21,-11,-23,-11,-25,-10,-26,-9,-26,-8,-26,-8,-25,-8,-26,-8,-28,-8,-29,-7,-29,-7,-28,-9,-29,-7,-30,-5,-31,-6,-31,-6,-31,-6,-32,-7,-33,-8,-33,-6,-34,-7,-35,-8,-34,-8,-34,-9,-34,-9,-34,-10,-34,-11,-35,-10,-35,-11,-33,-15,-32,-15,-32,-14,-32,-15,-8,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,23,8,22,7,21,8,21,9,21,9,20,9,19,8,20,8,20,10,19,10,19,10,20,9,20,11,19,11,17,10,18,10,19,10,18,10,15,9,14,8,15,8,16,8,16,7,17,8,17,8,16,6,15,5,15,5,16,5,16,4,16,4,16,4,16,3,16,2,17,1,17,0,16,0,16,-1,15,-2,15,-2,15,-3,15,-4,16,-5,17,-6,15,-6,14,-7,14,-8,14,-8,15,-8,16,-8,15,-9,15,-9,16,-9,17,-10,17,-11,16,-12,16,-13,4,-4]"
CSI_DATA,2994,1a:00:00:00:00:00,-66,11,1,0,1,1,1,0,0,0,1,-95,0,11,2,42466930,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,1,-3,7,-9,7,-10,7,-11,8,-11,8,-11,7,-10,7,-10,7,-10,6,-10,6,-11,6,-12,6,-13,6,-13,6,-12,6,-12,5,-13,5,-13,5,-12,4,-12,4,-13,4,-14,4,-14,4,-13,3,-14,3,-16,3,-16,1,-8,1,-17,1,-18,1,-18,2,-17,2,-17,2,-18,1,-19,1,-18,1,-18,0,-19,1,-19,2,-19,2,-19,1,-20,1,-20,1,-21,1,-22,2,-21,1,-21,1,-21,3,-21,4,-21,4,-21,5,-21,5,-20,5,-19,1,-5,0,0,0,0,0,0,0,0,2,-2,8,-4,22,-13,22,-13,20,-14,19,-14,18,-14,17,-15,18,-14,18,-14,17,-14,17,-15,15,-15,15,-17,15,-18,15,-19,16,-20,16,-21,16,-21,15,-22,16,-22,15,-23,14,-23,12,-24,12,-23,12,-23,12,-23,13,-25,13,-27,12,-27,11,-28,11,-28,11,-28,11,-29,10,-30,10,-30,10,-31,9,-31,9,-32,9,-33,8,-34,8,-35,9,-35,10,-36,10,-36,11,-37,11,-38,11,-38,11,-38,11,-38,11,-37,11,-37,11,-37,13,-37,14,-37,15,-36,17,-35,19,-34,22,-34,7,-12,2,-4,-1,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,-3,6,-12,23,-12,22,-13,22,-14,22,-13,21,-14,18,-13,18,-13,19,-15,21,-16,21,-17,21,-16,21,-16,22,-16,21,-16,18,-16,19,-15,20,-14,19,-12,17,-11,16,-11,16,-12,18,-11,18,-12,18,-12,18,-11,18,-10,17,-11,17,-9,18,-7,18,-7,18,-8,17,-7,17,-6,17,-5,18,-4,18,-3,18,-2,18,-1,18,0,19,1,19,1,18,1,18,2,18,3,17,4,16,5,16,6,16,7,17,6,18,7,18,7,18,6,19,7,19,10,19,12,20,13,21,3,5]"
CSI_DATA,2995,1a:00:00:00:00:00,-66,11,1,0,1,1,1,0,0,0,1,-95,0,11,2,42487440,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,1,2,4,9,5,9,6,9,5,9,5,9,5,9,6,8,6,8,6,8,6,8,7,9,8,8,8,8,7,8,8,8,9,8,9,7,8,7,9,6,9,6,10,6,10,6,10,6,11,5,12,6,12,6,6,2,13,4,14,5,14,5,14,5,14,5,15,4,15,4,15,4,15,4,16,4,16,5,15,5,15,5,16,5,16,5,17,5,18,5,17,5,17,5,17,4,17,5,17,6,17,7,17,8,15,8,15,9,3,2,0,0,0,0,0,0,0,0,0,0,3,3,14,15,15,14,17,13,17,12,16,11,15,12,16,12,17,13,16,12,16,11,17,9,18,8,19,8,19,9,19,9,21,7,23,7,22,8,21,7,22,5,24,4,22,5,21,4,21,4,22,4,23,4,24,4,25,3,26,2,27,1,27,0,27,0,27,0,27,-2,28,-2,29,-1,29,-4,28,-6,29,-4,30,-4,30,-5,32,-3,33,-1,33,-2,34,-4,34,-5,34,-4,34,-4,35,-4,35,-4,34,-3,34,-3,34,-2,33,0,34,2,34,3,34,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-3,-22,-12,-22,-11,-22,-12,-21,-13,-20,-12,-20,-11,-20,-10,-21,-10,-21,-12,-20,-13,-20,-13,-21,-12,-21,-13,-20,-13,-17,-12,-19,-12,-20,-11,-19,-11,-17,-10,-18,-8,-18,-9,-18,-9,-17,-8,-17,-8,-18,-9,-18,-8,-18,-8,-17,-8,-17,-7,-17,-5,-17,-4,-17,-4,-17,-3,-17,-2,-18,-1,-18,0,-17,1,-16,2,-17,2,-17,4,-17,5,-16,5,-16,5,-16,5,-16,6,-16,7,-15,8,-14,10,-14,10,-14,9,-15,9,-15,10,-15,10,-16,10,-17,12,-16,14,-15,15,-4,3]"
CSI_DATA,2996,1a:00:00:00:00:00,-66,11,1,0,1,1,1,0,0,0,1,-95,0,11,2,42495782,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,1,-3,7,-10,6,-10,6,-11,7,-12,6,-12,5,-11,4,-12,4,-12,5,-12,5,-12,5,-13,4,-13,4,-13,4,-13,4,-13,3,-14,3,-14,3,-13,3,-13,2,-13,2,-14,2,-14,2,-14,1,-15,1,-16,1,-16,0,-8,0,-17,1,-18,0,-19,0,-18,0,-17,0,-18,-1,-18,0,-19,0,-19,-1,-20,0,-20,1,-20,1,-20,0,-20,0,-21,0,-22,0,-22,1,-21,0,-21,1,-21,2,-20,3,-21,3,-21,4,-21,5,-20,6,-19,1,-5,0,0,0,0,0,0,0,0,0,0,5,-3,21,-12,20,-14,19,-16,18,-16,18,-15,17,-17,17,-17,17,-15,16,-15,15,-17,13,-19,12,-20,14,-21,15,-20,16,-18,15,-20,14,-23,14,-23,14,-21,12,-24,12,-26,13,-24,12,-23,12,-24,13,-24,12,-24,9,-25,8,-28,9,-30,9,-29,9,-29,10,-29,10,-30,8,-31,7,-31,9,-33,8,-34,6,-34,7,-34,6,-34,6,-35,8,-37,10,-37,10,-38,10,-39,11,-39,11,-39,11,-39,12,-40,11,-39,11,-38,12,-38,13,-37,15,-36,16,-37,18,-36,20,-33,5,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,6,-9,25,-9,24,-12,24,-13,25,-12,22,-11,21,-10,21,-10,22,-12,23,-13,22,-12,22,-11,22,-13,23,-13,22,-12,20,-12,20,-12,21,-12,20,-10,19,-10,18,-10,18,-10,19,-9,18,-9,19,-10,19,-8,18,-7,18,-7,19,-7,19,-6,18,-5,18,-6,19,-4,19,-3,19,-2,19,-1,18,1,16,1,17,1,18,2,19,2,19,4,18,5,18,5,19,5,17,6,16,8,16,9,17,8,16,7,17,8,18,9,18,9,18,9,18,10,20,13,20,15,18,3,4]"
CSI_DATA,2997,1a:00:00:00:00:00,-66,11,1,0,1,1,1,0,0,0,1,-95,0,11,2,42511700,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-3,0,-10,3,-10,4,-11,5,-11,5,-10,4,-9,4,-9,5,-9,5,-9,6,-10,6,-11,7,-10,7,-10,7,-10,6,-10,7,-9,8,-8,8,-8,8,-8,8,-9,9,-9,9,-9,9,-9,9,-9,9,-9,10,-9,11,-4,5,-8,12,-9,13,-9,13,-9,13,-9,13,-8,13,-8,14,-8,14,-8,14,-8,14,-9,14,-9,13,-10,14,-10,14,-9,15,-9,16,-10,16,-10,16,-10,16,-10,15,-11,15,-12,14,-13,14,-13,14,-13,13,-13,12,-3,3,0,0,0,0,0,0,0,0,0,0,-5,2,-20,9,-20,11,-19,12,-19,13,-17,12,-16,11,-17,11,-18,12,-15,11,-14,10,-15,11,-14,13,-15,15,-16,16,-15,16,-14,17,-15,19,-16,18,-14,18,-13,20,-14,22,-14,20,-12,18,-13,18,-15,19,-15,20,-12,21,-10,23,-12,25,-12,25,-10,25,-10,26,-10,27,-9,27,-11,26,-13,26,-11,27,-10,28,-11,29,-11,29,-10,29,-11,30,-12,31,-11,33,-11,33,-10,32,-10,32,-11,34,-12,33,-13,32,-13,32,-13,32,-15,32,-18,31,-18,30,-18,30,-19,30,-5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-6,12,-23,10,-22,11,-22,13,-21,13,-19,13,-17,13,-18,14,-19,14,-21,14,-20,13,-19,13,-20,13,-21,14,-20,14,-17,13,-16,13,-17,12,-17,11,-15,11,-15,11,-16,11,-16,10,-15,10,-15,10,-16,9,-16,9,-16,8,-16,8,-16,7,-16,7,-16,7,-16,6,-16,5,-17,4,-18,3,-18,1,-16,1,-17,1,-18,0,-19,-2,-19,-3,-18,-3,-18,-3,-17,-3,-15,-3,-15,-5,-16,-6,-17,-7,-17,-6,-17,-7,-18,-8,-18,-7,-19,-7,-20,-9,-21,-11,-21,-12,-20,-3,-5]"
CSI_DATA,2998,1a:00:00:00:00:00,-66,11,1,0,1,1,1,0,0,0,1,-95,0,11,2,42525747,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-2,-3,-6,-12,-6,-11,-8,-11,-8,-12,-7,-11,-7,-11,-8,-10,-8,-10,-9,-10,-9,-10,-10,-11,-10,-11,-10,-10,-10,-10,-10,-10,-11,-10,-11,-9,-10,-9,-11,-8,-11,-9,-12,-9,-12,-9,-12,-9,-12,-9,-13,-9,-14,-9,-8,-4,-16,-8,-17,-9,-17,-8,-17,-8,-16,-8,-17,-8,-17,-7,-17,-8,-18,-8,-18,-8,-18,-9,-17,-9,-18,-9,-18,-8,-18,-9,-20,-9,-20,-9,-20,-9,-19,-9,-19,-9,-19,-10,-19,-11,-19,-12,-18,-13,-17,-14,-16,-14,-4,-4,0,0,0,0,0,0,0,0,0,0,-4,-6,-14,-21,-15,-20,-17,-20,-17,-19,-15,-18,-16,-18,-17,-18,-17,-19,-16,-19,-16,-17,-18,-15,-19,-15,-20,-16,-20,-17,-21,-17,-23,-17,-23,-17,-21,-17,-20,-16,-24,-15,-27,-14,-25,-14,-24,-12,-24,-12,-23,-13,-24,-14,-25,-14,-27,-12,-28,-13,-29,-12,-30,-12,-31,-12,-32,-11,-32,-10,-31,-11,-31,-12,-32,-10,-33,-7,-34,-7,-34,-7,-34,-8,-35,-12,-36,-14,-37,-14,-38,-12,-38,-11,-38,-12,-39,-13,-39,-13,-38,-12,-38,-12,-38,-13,-37,-14,-35,-18,-34,-21,-34,-22,-33,-23,-9,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,24,9,24,9,24,10,24,11,22,11,22,11,22,11,22,10,22,12,21,13,20,13,23,12,24,13,22,13,20,11,21,11,23,12,21,12,18,10,18,9,18,9,18,9,19,9,19,10,19,11,18,10,17,9,17,8,18,6,19,5,18,4,18,5,18,3,18,2,19,1,20,0,19,-1,19,0,18,1,18,-1,18,-3,18,-5,19,-5,18,-5,17,-7,16,-9,16,-9,16,-9,16,-9,17,-8,17,-8,18,-9,19,-9,20,-10,20,-12,19,-13,18,-14,4,-4]"
CSI_DATA,2999,1a:00:00:00:00:00,-66,11,1,0,1,1,1,0,0,0,1,-95,0,11,2,42540195,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-1,2,-1,10,0,10,1,11,0,11,0,11,0,10,1,10,2,10,2,10,2,10,2,11,3,11,3,11,3,11,3,11,4,11,4,11,4,10,4,10,4,10,5,11,5,11,5,10,6,11,7,11,7,12,4,5,9,11,9,12,9,12,9,11,9,11,9,12,10,12,10,12,10,12,11,13,11,13,10,13,10,13,10,13,11,13,11,14,12,15,11,15,11,14,10,14,10,15,10,15,9,15,9,16,7,16,7,16,1,4,0,0,0,0,0,0,0,0,0,0,0,5,1,21,2,22,4,21,4,19,3,19,3,18,3,21,3,23,3,22,4,20,6,19,8,19,8,20,7,21,7,21,9,21,11,22,9,21,8,19,12,19,14,21,13,21,12,19,13,19,13,20,13,20,15,19,16,19,17,21,17,20,17,19,19,19,20,20,21,20,21,20,22,22,23,20,24,18,24,20,23,20,23,20,24,22,24,23,24,24,25,24,27,23,27,24,27,24,25,23,24,23,24,23,24,23,23,25,21,27,20,29,19,29,19,29,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-6,-13,-22,-14,-21,-13,-22,-12,-23,-11,-22,-12,-22,-12,-21,-12,-21,-11,-22,-10,-22,-10,-22,-10,-23,-10,-24,-9,-22,-8,-20,-9,-20,-11,-21,-9,-20,-8,-18,-8,-18,-8,-18,-9,-17,-9,-17,-10,-18,-10,-19,-10,-18,-10,-16,-10,-16,-10,-15,-12,-14,-13,-13,-13,-13,-13,-13,-13,-12,-15,-12,-15,-11,-14,-9,-15,-10,-13,-10,-12,-8,-14,-8,-17,-7,-18,-6,-17,-5,-16,-5,-17,-4,-17,-3,-18,-2,-17,-2,-17,-3,-18,-3,-19,-3,-19,-3,-20,-3,-22,-1,-22,1,-21,2,-6,0]"
